,word,pola,극성
376,불안/NNG;경제/NNG;둔화/NNG,0.450424142116,N
377,잠재/NNG;신용위험/NNG,0.370654643802,N
378,여신/NNG;건전성/NNG;개선/NNG,0.370360665544,N
379,금리갭/NNG;확대/NNG,0.351442856028,N
381,경기/NNG;둔화/NNG;우려/NNG,0.220886725769,N
382,경기/NNG;지표/NNG;호조/NNG;금리/NNG;상승/NNG,0.403895780592,N
383,주식선물/NNG,0.420551510177,N
384,돌파/NNG,0.438064910722,N
385,편향/NNG,0.4462129069,N
386,자세/NNG,0.358689961679,N
387,장단기/NNG;금리/NNG;역전/NNG;경기/NNG;침체/NNG,0.385251831218,N
388,국고채/NNG;금리/NNG;상승/NNG;압력/NNG,0.374824200688,N
389,가계/NNG;대출/NNG;둔화/NNG,0.372243334369,N
390,시나리오/NNG,0.439961565457,N
391,순이익/NNG,0.359661772893,N
392,상환능력/NNG;심사/NNG;강화/NNG,0.43671681642,N
393,눈여겨/VV,0.412601387077,N
394,저축률/NNG,0.59734357879,N
395,부진/NNG;완화/NNG,0.221640165452,N
396,개선/NNG;제약/NNG,0.404342941294,N
397,덧붙인/VV,0.442285267956,N
398,기대/NNG;금리/NNG;인상/NNG,0.376603828887,N
399,취업자/NNG;감소/NNG,0.429420283072,N
400,일자/NNG,0.398061388105,N
401,만들/VV,0.355897998989,N
402,정정불안/NNG;확산/NNG,0.173798860973,N
403,수출국/NNG,0.411622049611,N
404,리더십/NNG,0.453765963662,N
405,기업구조조정촉진법/NNG,0.405819803391,N
406,불안정성/NNG;우려/NNG,0.43101505419,N
407,타협/NNG,0.406705906486,N
408,긴축/NNG;우려/NNG;하락/NNG,0.42207502025,N
409,망치/NNG,0.418846478831,N
410,의미/NNG,0.581330064729,N
411,일시적/VAX;안정/NNG,0.407146613223,N
412,제조업/NNG;수주/NNG;증가/NNG,0.41489733595,N
413,락하/NNG,0.55243834089,N
414,정말/MAG,0.420591027277,N
415,대부/NNG,0.359843408391,N
416,금리/NNG;인상/NNG;기대/NNG;급등/NNG,0.405093342369,N
418,금리/NNG;제한적/VAX,0.414787267853,N
419,디플레이션/NNG;탈피/NNG,0.47139745567,N
421,분명/MAG,0.52521459225,N
422,가계/NNG;증가/NNG,0.410547054488,N
423,주택/NNG;경기/NNG;활성화/NNG,0.411086592747,N
424,협회/NNG,0.416907120663,N
425,금융위기/NNG;안전자산/NNG;선호/NNG,0.449047293685,N
426,차제/NNG,0.362859068757,N
427,의의/NNG,0.405173424862,N
429,기대/NNG;통제/NNG,0.378616238819,N
430,주택/NNG;지표/NNG;개선/NNG,0.465787856721,N
431,금리/NNG;내리/VV;오르/VV,0.424641753062,N
432,투자/NNG;감소/NNG;증가/NNG,0.429904412999,N
433,준칙/NNG,0.559436356233,N
434,예금자/NNG,0.428174930248,N
435,인텔리전스/NNG,0.417209108686,N
437,충분/NNG,0.630713523502,N
438,금융부채/NNG,0.452907189038,N
439,정책회의/NNG,0.425810831066,N
440,가동률/NNG;상승/NNG,0.365762120824,N
441,금보/NNG,0.445953985668,N
442,불안/NNG;확대/NNG,0.423606163141,N
443,국민연금/NNG,0.470773312649,N
444,제조업/NNG;생산/NNG;둔화/NNG,0.433503305947,N
445,가용자금/NNG,0.381415904234,N
446,수년/NNG,0.347373467348,N
447,디레버리징/NNG;압력/NNG,0.453820691322,N
448,부작용/NNG;초래/NNG;우려/NNG,0.636649717142,N
449,은행자본확충펀드/NNG,0.423729979856,N
450,벌어들인/VV,0.401253722901,N
451,모니/NNG,0.39906417119,N
452,수혜자/NNG,0.438469626443,N
453,금리/NNG;인상/NNG;불구/NNG;하락/NNG,0.402171113794,N
454,고충/NNG,0.395079157822,N
455,유로존/NNG;경제/NNG;활동/NNG;부진/NNG,0.383190098339,N
456,부하/NNG,0.360365363657,N
457,안정/NNG;금리/NNG;인하/NNG,0.436537193766,N
458,부담액/NNG,0.437561741601,N
459,내수/NNG;수출/NNG;부진/NNG,0.373717581963,N
460,은행/NNG;대출/NNG;부진/NNG,0.360623396033,N
461,결제금액/NNG,0.413821446682,N
462,통화/NNG;공급/NNG;감소/NNG,0.379726159201,N
463,고수/NNG,0.40894893266,N
464,이자/NNG;수입/NNG;감소/NNG,0.435285811107,N
465,부동산/NNG;자산/NNG;가격/NNG;거품/NNG,0.397015972055,N
467,정책/NNG;축소/NNG,0.420022413462,N
468,정책/NNG;불확실성/NNG;증대/NNG,0.393196824336,N
469,정책/NNG;주가/NNG;상승/NNG,0.462071226707,N
470,생산/NNG;수출/NNG;증가/NNG,0.387959910091,N
471,수요/NNG;압력/NNG;완화/NNG;물가/NNG;안정/NNG,0.298555031479,N
472,수부/NNG,0.397302806207,N
473,대출/NNG;신용/NNG;대출/NNG;확대/NNG,0.415543969947,N
474,매파/NNG;입장/NNG;금리/NNG;인상/NNG,0.391003841098,N
475,신흥국/NNG;경제/NNG;성장/NNG,0.390721722606,N
476,임차/NNG,0.362983919821,N
477,성장/NNG;경로/NNG;불확실성/NNG;확대/NNG,0.40920781028,N
478,재정/NNG;긴축/NNG;성장/NNG,0.401783880953,N
479,생성/NNG,0.402195469133,N
480,예금이자/NNG,0.412341242276,N
481,출간/NNG,0.415276587862,N
482,유일/NNG,0.42390918331,N
483,추기/VV,0.375478663495,N
484,경제/NNG;지표/NNG;부진/NNG;상승/NNG,0.403727576313,N
485,실은/MAG,0.399317093455,N
486,소비/NNG;지출/NNG;증가/NNG,0.40824476441,N
487,지출/NNG;확대/NNG,0.448382907938,N
488,경기/NNG;회복/NNG;더디/VA,0.617754709281,N
489,일반화/NNG,0.43711926582,N
490,신용위기/NNG;확산/NNG,0.384520215525,N
491,패러독스/NNG,0.389477925193,N
492,부채/NNG;부담/NNG,0.35060331657,N
493,경제분석/NNG,0.450452599619,N
494,위축/NNG;가격/NNG;하락/NNG,0.330686936815,N
495,계절효과/NNG,0.437071333715,N
497,국고금/NNG,0.399621072763,N
498,집단/NNG,0.514015301206,N
499,결집/NNG,0.453996972741,N
500,알리/VV,0.438849612175,N
501,개별주체/NNG,0.359991350954,N
502,선물환/NNG,0.503462262361,N
503,주택가격/NNG;하락/NNG;지방/NNG;상승/NNG,0.37853019368,N
504,무난히/MAG,0.405420875899,N
506,복지/NNG,0.372400186285,N
507,취매/NNG,0.32804372993,N
508,시장성/NNG,0.521325172413,N
